epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.8984,0.30157,0.50621,1,1.5485,0.00051677,0.00051677,0.00051677
2,19.3672,0.00918,0.64596,1,1.78646,0.00101555,0.00101555,0.00101555
3,22.5706,0.00536,0.58385,1,1.53223,0.00147913,0.00147913,0.00147913
4,26.242,0.00578,0.85093,1,0.5603,0.00150197,0.00150197,0.00150197
5,30.3018,0.01408,0.64286,1,1.13688,0.00144696,0.00144696,0.00144696
6,34.5748,0.01826,0.74224,1,0.99447,0.00139195,0.00139195,0.00139195
7,38.4229,0.02146,0.50311,1,5.22526,0.00133693,0.00133693,0.00133693
8,42.281,0.01391,0.73913,1,0.92676,0.00128192,0.00128192,0.00128192
9,46.262,0.02268,0.58385,1,2.48958,0.00122691,0.00122691,0.00122691
10,50.0184,0.01779,0.71429,1,1.83431,0.0011719,0.0011719,0.0011719
11,53.7292,0.00905,0.74224,1,2.09733,0.00111689,0.00111689,0.00111689
12,60.0413,0.00892,0.5559,1,2.66081,0.00106188,0.00106188,0.00106188
13,63.676,0.00812,0.63043,1,2.53125,0.00100687,0.00100687,0.00100687
14,67.519,0.01273,0.65839,1,1.3278,0.000951857,0.000951857,0.000951857
15,71.164,0.00721,0.57764,1,2.89258,0.000896846,0.000896846,0.000896846
16,74.5307,0.00346,0.63975,1,2.24544,0.000841835,0.000841835,0.000841835
17,78.1958,0.00519,0.63043,1,1.80762,0.000786824,0.000786824,0.000786824
18,81.9396,0.00277,0.67081,1,1.47786,0.000731813,0.000731813,0.000731813
19,85.2099,0.00112,0.65528,1,1.83887,0.000676802,0.000676802,0.000676802
20,88.9377,0.00124,0.66149,1,1.79948,0.000621791,0.000621791,0.000621791
21,94.2729,0.00238,0.65217,1,1.62565,0.00056678,0.00056678,0.00056678
22,98.1952,0.00376,0.62422,1,1.80143,0.000511769,0.000511769,0.000511769
23,101.955,0.00078,0.61801,1,2.18066,0.000456758,0.000456758,0.000456758
24,105.539,0.00069,0.62422,1,2.22852,0.000401747,0.000401747,0.000401747
25,109.151,0.0007,0.61801,1,2.09635,0.000346736,0.000346736,0.000346736
26,113.187,0.00052,0.64286,1,1.77669,0.000291725,0.000291725,0.000291725
27,116.774,0.00028,0.66149,1,1.56348,0.000236714,0.000236714,0.000236714
28,120.369,0.00056,0.66149,1,1.69857,0.000181703,0.000181703,0.000181703
29,123.836,0.00169,0.64596,1,1.93164,0.000126692,0.000126692,0.000126692
30,127.415,0.00067,0.62733,1,2.06673,7.1681e-05,7.1681e-05,7.1681e-05
