epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.5976,0.3764,0.995,1,0.01353,0.00040008,0.00040008,0.00040008
2,15.6736,0.01253,0.995,1,0.00596,0.000789875,0.000789875,0.000789875
3,18.3915,0.0013,0.995,1,0.00484,0.00115216,0.00115216,0.00115216
4,21.3832,0.00205,1,1,0.00824,0.00148695,0.00148695,0.00148695
5,24.7143,0.0167,0.985,1,0.02483,0.00144696,0.00144696,0.00144696
6,28.0305,0.02031,0.995,1,0.00646,0.00139195,0.00139195,0.00139195
7,31.1543,0.02655,0.9875,1,0.05121,0.00133693,0.00133693,0.00133693
8,34.6989,0.01786,1,1,0.00107,0.00128192,0.00128192,0.00128192
9,37.874,0.01179,1,1,0.00074,0.00122691,0.00122691,0.00122691
10,41.1722,0.0084,0.9975,1,0.00389,0.0011719,0.0011719,0.0011719
11,44.58,0.00963,1,1,0.00114,0.00111689,0.00111689,0.00111689
12,48.163,0.00725,1,1,0.00138,0.00106188,0.00106188,0.00106188
13,51.7466,0.00873,1,1,0.00028,0.00100687,0.00100687,0.00100687
14,55.1111,0.00872,1,1,0.0011,0.000951857,0.000951857,0.000951857
15,58.5594,0.00856,1,1,2e-05,0.000896846,0.000896846,0.000896846
16,61.9006,0.01008,1,1,0.0014,0.000841835,0.000841835,0.000841835
17,65.8591,0.00521,1,1,0.00016,0.000786824,0.000786824,0.000786824
18,69.4664,0.00186,1,1,9e-05,0.000731813,0.000731813,0.000731813
19,72.9042,0.00189,1,1,0.00128,0.000676802,0.000676802,0.000676802
20,75.6837,0.00179,1,1,0.00022,0.000621791,0.000621791,0.000621791
21,81.0433,0.00081,1,1,9e-05,0.00056678,0.00056678,0.00056678
22,84.5714,0.00068,1,1,0.0001,0.000511769,0.000511769,0.000511769
23,88.4224,0.00093,1,1,5e-05,0.000456758,0.000456758,0.000456758
24,92.4283,0.00029,1,1,0.00016,0.000401747,0.000401747,0.000401747
25,96.1419,0.0006,1,1,0.00017,0.000346736,0.000346736,0.000346736
26,99.7452,0.00027,1,1,0.00012,0.000291725,0.000291725,0.000291725
27,103.3,0.00125,1,1,4e-05,0.000236714,0.000236714,0.000236714
28,106.76,0.00066,1,1,0.00011,0.000181703,0.000181703,0.000181703
29,110.132,0.00042,1,1,0.00042,0.000126692,0.000126692,0.000126692
30,113.385,0.00037,1,1,0.0003,7.1681e-05,7.1681e-05,7.1681e-05
