nivel;ano;area;variavel;descricao;n;pearson_r;pearson_p;spearman_rho;spearman_p
geral;;;similaridade_com_correta;Similaridade com a correta;10740;0.13277295381260096;1.9466427356190497e-43;0.16219624327129886;3.246611459812452e-64
ano;2020.0;;similaridade_com_correta;Similaridade com a correta;2112;0.09718173890001636;7.674030172689811e-06;0.1084313320326092;5.886396997262202e-07
ano;2022.0;;similaridade_com_correta;Similaridade com a correta;2096;0.15046386371401738;4.393980752492976e-12;0.16872934302823836;7.48608028324686e-15
ano;2023.0;;similaridade_com_correta;Similaridade com a correta;2212;0.13660519931717874;1.1079584440510381e-10;0.1712000303634343;5.178465501733004e-16
ano;2024.0;;similaridade_com_correta;Similaridade com a correta;2176;0.14380989515994919;1.5883007098504362e-11;0.21963092774490942;3.533212355420868e-25
ano;2025.0;;similaridade_com_correta;Similaridade com a correta;2144;0.14160205636306994;4.5172313203588744e-11;0.14419299782494913;1.975715761585342e-11
area;;CH;similaridade_com_correta;Similaridade com a correta;3584;0.10524756200368537;2.6815018341660006e-10;0.10648534490771439;1.6495482689768392e-10
area;;CN;similaridade_com_correta;Similaridade com a correta;2576;0.04600087758849314;0.01955148758972079;0.10646686664593669;6.080067697955238e-08
area;;LC;similaridade_com_correta;Similaridade com a correta;4000;0.0539131346962701;0.0006468208222738641;0.07831275049429319;7.085614026045329e-07
area;;MT;similaridade_com_correta;Similaridade com a correta;580;0.11766108941688463;0.004548217696954702;0.13209729603448092;0.001430407741894407
ano_area;2020.0;CH;similaridade_com_correta;Similaridade com a correta;720;0.19796899414281646;8.511660231628487e-08;0.15734127468021106;2.2250932093142092e-05
ano_area;2020.0;CN;similaridade_com_correta;Similaridade com a correta;544;0.06389988045610372;0.1366238859293287;0.17500745371608498;4.057751335174629e-05
ano_area;2020.0;LC;similaridade_com_correta;Similaridade com a correta;800;-0.018516322269023118;0.6010114063357015;-0.03481096233548383;0.32542969988994797
ano_area;2020.0;MT;similaridade_com_correta;Similaridade com a correta;48;0.37239901064872477;0.009146218024690487;0.49096319556146295;0.00039548670267858753
ano_area;2022.0;CH;similaridade_com_correta;Similaridade com a correta;704;0.18408833277625453;8.751126167028817e-07;0.18500642171328596;7.701562177232523e-07
ano_area;2022.0;CN;similaridade_com_correta;Similaridade com a correta;496;0.030072175389322747;0.5040056360499272;0.057072809005376805;0.20447700443463857
ano_area;2022.0;LC;similaridade_com_correta;Similaridade com a correta;800;0.022473072640148722;0.5256105589802026;0.040027375366327576;0.2581274494372042
ano_area;2022.0;MT;similaridade_com_correta;Similaridade com a correta;96;0.05953981733771113;0.564454037129282;0.14993217029368952;0.14482917493653585
ano_area;2023.0;CH;similaridade_com_correta;Similaridade com a correta;720;0.07254933895543936;0.0516685090278928;0.07266763119768456;0.051287474968539325
ano_area;2023.0;CN;similaridade_com_correta;Similaridade com a correta;528;-0.02705592108002744;0.535035364980777;0.03397781374138088;0.4359058971700387
ano_area;2023.0;LC;similaridade_com_correta;Similaridade com a correta;800;0.05681713153756367;0.1083144116449286;0.06811487386498308;0.05412883397184956
ano_area;2023.0;MT;similaridade_com_correta;Similaridade com a correta;164;0.15407688908572217;0.048857455474755826;0.17339316971400726;0.026393113363592197
ano_area;2024.0;CH;similaridade_com_correta;Similaridade com a correta;720;0.04599491867647813;0.2176947193622745;0.09582324361107282;0.010091966788054433
ano_area;2024.0;CN;similaridade_com_correta;Similaridade com a correta;496;0.025029936204794528;0.5781262248430286;0.04862243580592681;0.2797948960556383
