ano,area,co_prova,co_item,posicao_prova,lingua_estrangeira,n_respostas,n_acertos,percentual_acertos
2020,CH,567,15291,63,,100228,30625,30.56
2020,CH,568,15291,66,,100338,30711,30.61
2020,CH,569,15291,58,,100600,30980,30.8
2020,CH,570,15291,83,,101398,32021,31.58
2020,CH,567,18425,81,,100228,19567,19.52
2020,CH,568,18425,82,,100338,19714,19.65
2020,CH,569,18425,49,,100600,20980,20.85
2020,CH,570,18425,73,,101398,20093,19.82
2020,CH,567,35686,70,,100228,29759,29.69
2020,CH,568,35686,80,,100338,29223,29.12
2020,CH,569,35686,71,,100600,30814,30.63
2020,CH,570,35686,61,,101398,30863,30.44
2020,CH,567,38675,78,,100228,45611,45.51
2020,CH,568,38675,75,,100338,45469,45.32
2020,CH,569,38675,66,,100600,46561,46.28
2020,CH,570,38675,56,,101398,49491,48.81
2020,CH,567,42444,62,,100228,37554,37.47
2020,CH,568,42444,65,,100338,36268,36.15
2020,CH,569,42444,57,,100600,36481,36.26
2020,CH,570,42444,82,,101398,36047,35.55
2020,CH,567,43978,49,,100228,36406,36.32
2020,CH,568,43978,71,,100338,35083,34.96
2020,CH,569,43978,75,,100600,34221,34.02
2020,CH,570,43978,88,,101398,33955,33.49
2020,CH,567,45217,86,,100228,33470,33.39
2020,CH,568,45217,47,,100338,37927,37.8
2020,CH,569,45217,54,,100600,35610,35.4
2020,CH,570,45217,63,,101398,35251,34.76
2020,CH,567,46932,77,,100228,32358,32.28
2020,CH,568,46932,74,,100338,31765,31.66
2020,CH,569,46932,65,,100600,32684,32.49
2020,CH,570,46932,55,,101398,31265,30.83
2020,CH,567,63343,76,,100228,34383,34.3
2020,CH,568,63343,73,,100338,32687,32.58
2020,CH,569,63343,64,,100600,32598,32.4
2020,CH,570,63343,54,,101398,35709,35.22
2020,CH,567,84269,69,,100228,23356,23.3
2020,CH,568,84269,79,,100338,23523,23.44
2020,CH,569,84269,70,,100600,23393,23.25
2020,CH,570,84269,60,,101398,24818,24.48
2020,CH,567,84333,50,,100228,72848,72.68
