ano,area,co_item,posicao_prova_azul,lingua_estrangeira,n_respostas,n_acertos,percentual_acertos
2020,CH,112017,46,,402564,113077,28.09
2020,CH,111987,47,,402564,136416,33.89
2020,CH,111788,48,,402564,79257,19.69
2020,CH,43978,49,,402564,139665,34.69
2020,CH,84333,50,,402564,287090,71.32
2020,CH,111924,51,,402564,231825,57.59
2020,CH,89808,52,,402564,206414,51.27
2020,CH,112106,53,,402564,215286,53.48
2020,CH,87040,54,,402564,297788,73.97
2020,CH,111912,55,,402564,55991,13.91
2020,CH,112103,56,,402564,200019,49.69
2020,CH,111968,57,,402564,81528,20.25
2020,CH,112012,58,,402564,162186,40.29
2020,CH,88041,59,,402564,196473,48.81
2020,CH,87216,60,,402564,199243,49.49
2020,CH,112065,61,,402564,156857,38.96
2020,CH,42444,62,,402564,146350,36.35
2020,CH,15291,63,,402564,124337,30.89
2020,CH,87999,64,,402564,130658,32.46
2020,CH,111792,65,,402564,154752,38.44
2020,CH,88307,66,,402564,273150,67.85
2020,CH,97979,67,,402564,60451,15.02
2020,CH,111815,68,,402564,161689,40.16
2020,CH,84269,69,,402564,95090,23.62
2020,CH,35686,70,,402564,120659,29.97
2020,CH,111917,71,,402564,270062,67.09
2020,CH,85290,72,,402564,69429,17.25
2020,CH,95418,73,,402564,162004,40.24
2020,CH,111930,74,,402564,175822,43.68
2020,CH,111919,75,,402564,152752,37.94
2020,CH,63343,76,,402564,135377,33.63
2020,CH,46932,77,,402564,128072,31.81
2020,CH,38675,78,,402564,187132,46.49
2020,CH,111945,79,,402564,258272,64.16
2020,CH,111886,80,,402564,132659,32.95
2020,CH,18425,81,,402564,80354,19.96
2020,CH,96883,82,,402564,193747,48.13
2020,CH,95904,83,,402564,125801,31.25
2020,CH,95948,84,,402564,107574,26.72
2020,CH,98153,85,,402564,177221,44.02
2020,CH,45217,86,,402564,142258,35.34
2020,CH,85886,87,,402564,134712,33.46
2020,CH,112015,88,,402564,266719,66.26
2020,CH,96190,89,,402564,235106,58.4
2020,CH,111863,90,,402564,212415,52.77
2020,CN,84184,91,,375717,209241,55.69
2020,CN,79124,92,,375717,238133,63.38
2020,CN,62745,93,,375717,92338,24.58
2020,CN,60072,94,,375717,79346,21.12
2020,CN,31244,95,,375717,100571,26.77
2020,CN,17936,96,,375717,85755,22.82
2020,CN,14966,97,,375717,160536,42.73
2020,CN,59913,98,,375717,86822,23.11
2020,CN,49867,99,,375717,66514,17.7
2020,CN,76371,100,,375717,103290,27.49
2020,CN,10035,101,,375717,172879,46.01
2020,CN,79139,102,,375717,69867,18.6
2020,CN,87702,103,,375717,116472,31.0
2020,CN,95441,104,,375717,177296,47.19
2020,CN,53548,105,,375717,115409,30.72
2020,CN,84444,106,,375717,99851,26.58
2020,CN,78655,107,,375717,158652,42.23
2020,CN,83046,108,,375717,139293,37.07
2020,CN,97512,109,,375717,65252,17.37
2020,CN,82708,110,,375717,83614,22.25
2020,CN,85606,111,,375717,139554,37.14
