Numero;Area;Idioma;Gabarito;sim_AB;sim_AC;sim_AD;sim_AE;sim_BC;sim_BD;sim_BE;sim_CD;sim_CE;sim_DE;sim_media;sim_maxima;par_mais_similar
1;Linguagens, Códigos e suas Tecnologias;Inglês;C;0.21817311644554138;0.37557104229927063;0.3328416049480438;0.3377543091773987;0.3583199679851532;0.3733369708061218;0.23923246562480927;0.6301781535148621;0.5910504460334778;0.4473007321357727;0.3903758808970451;0.6301781535148621;CD
2;Linguagens, Códigos e suas Tecnologias;Inglês;D;0.7019601464271545;0.4225893020629883;0.49879783391952515;0.49003368616104126;0.44396746158599854;0.5514270663261414;0.5058892965316772;0.6655157208442688;0.5979748964309692;0.507744312286377;0.5385899722576142;0.7019601464271545;AB
3;Linguagens, Códigos e suas Tecnologias;Inglês;E;0.04782538115978241;0.17459312081336975;0.10310886800289154;0.07438288629055023;0.0851438045501709;0.16225847601890564;0.2638603448867798;0.4850616455078125;0.17324793338775635;0.25008174777030945;0.18195642083883284;0.4850616455078125;CD
4;Linguagens, Códigos e suas Tecnologias;Inglês;A;0.6494477987289429;0.48964250087738037;0.6365498900413513;0.6311008930206299;0.6083882451057434;0.5272068977355957;0.6106749773025513;0.4426511824131012;0.47815507650375366;0.5097595453262329;0.5583577007055283;0.6494477987289429;AB
5;Linguagens, Códigos e suas Tecnologias;Inglês;A;0.56662917137146;0.576634407043457;0.5256587862968445;0.6535787582397461;0.6324896812438965;0.5200127363204956;0.5101575255393982;0.4679274260997772;0.5862696170806885;0.43327653408050537;0.5472634643316269;0.6535787582397461;AE
1;Linguagens, Códigos e suas Tecnologias;Espanhol;C;0.1289549618959427;0.5477511882781982;0.4241120517253876;0.47016921639442444;0.21313698589801788;0.21207773685455322;0.15909454226493835;0.3172500729560852;0.46074026823043823;0.2662290632724762;0.3199516087770462;0.5477511882781982;AC
2;Linguagens, Códigos e suas Tecnologias;Espanhol;A;0.4607768952846527;0.5309107303619385;0.4057939052581787;0.41215598583221436;0.5060964226722717;0.24074813723564148;0.3520514965057373;0.27593734860420227;0.19142979383468628;0.23958070576190948;0.3615481421351433;0.5309107303619385;AC
3;Linguagens, Códigos e suas Tecnologias;Espanhol;E;0.3869527280330658;0.3610507845878601;0.6341973543167114;0.4489510953426361;0.1699838638305664;0.3312998414039612;0.31082427501678467;0.3983408212661743;0.25092193484306335;0.314816951751709;0.36073396503925326;0.6341973543167114;AD
4;Linguagens, Códigos e suas Tecnologias;Espanhol;E;0.2215355932712555;0.3727046549320221;0.28176742792129517;0.39966291189193726;0.27998560667037964;0.48469364643096924;0.3152804970741272;0.28161442279815674;0.2398892194032669;0.3162064850330353;0.3193340465426445;0.48469364643096924;BD
5;Linguagens, Códigos e suas Tecnologias;Espanhol;E;0.4696781635284424;0.4123639762401581;0.3440588712692261;0.43344083428382874;0.42467883229255676;0.12824803590774536;0.5891565084457397;0.32262906432151794;0.41342127323150635;0.17635080218315125;0.37140263617038727;0.5891565084457397;BE
