Numero;Area;Idioma;Gabarito;sim_AB;sim_AC;sim_AD;sim_AE;sim_BC;sim_BD;sim_BE;sim_CD;sim_CE;sim_DE;tem_alternativa_imagem;sim_media;sim_maxima;par_mais_similar
1;Linguagens, Códigos e suas Tecnologias;Inglês;A;0.513642430305481;0.22639057040214539;0.3973977863788605;0.3586704134941101;0.24714216589927673;0.3683227300643921;0.38293132185935974;0.43203306198120117;0.40374594926834106;0.37809228897094727;;0.3708368718624115;0.513642430305481;AB
1;Linguagens, Códigos e suas Tecnologias;Espanhol;D;0.45865118503570557;0.3626592457294464;0.21986603736877441;0.27914127707481384;0.1612599641084671;0.25393903255462646;0.16617006063461304;0.22756816446781158;0.38684776425361633;0.2517901360988617;;0.27678928673267367;0.45865118503570557;AB
2;Linguagens, Códigos e suas Tecnologias;Inglês;A;0.26594752073287964;0.39071792364120483;0.23850640654563904;0.21982213854789734;0.23368576169013977;0.682007908821106;0.3140157461166382;0.23578697443008423;0.17263391613960266;0.2293923795223236;;0.29825166761875155;0.682007908821106;BD
2;Linguagens, Códigos e suas Tecnologias;Espanhol;D;0.20696179568767548;0.16355101764202118;0.16924042999744415;0.07410488277673721;0.1028987243771553;0.03779255971312523;0.123682402074337;0.09354177117347717;0.06295664608478546;0.4973074793815613;;0.15320377089083195;0.4973074793815613;DE
3;Linguagens, Códigos e suas Tecnologias;Inglês;C;0.23117876052856445;0.48064154386520386;0.46195799112319946;0.24876056611537933;0.594238817691803;0.45995476841926575;0.48014089465141296;0.7014302015304565;0.4971095323562622;0.48932185769081116;;0.46447349339723587;0.7014302015304565;CD
3;Linguagens, Códigos e suas Tecnologias;Espanhol;D;0.41468745470046997;0.40989238023757935;0.4627554714679718;0.2709616422653198;0.3213353157043457;0.4387609362602234;0.22595953941345215;0.38040828704833984;0.2715812921524048;0.4876152276992798;;0.3683957546949387;0.4876152276992798;DE
4;Linguagens, Códigos e suas Tecnologias;Inglês;E;0.43869420886039734;0.28488093614578247;0.31582215428352356;0.43286365270614624;0.5110135078430176;0.5980043411254883;0.6261449456214905;0.4097224771976471;0.3917087912559509;0.6827899217605591;;0.4691644936800003;0.6827899217605591;DE
4;Linguagens, Códigos e suas Tecnologias;Espanhol;A;0.6595795154571533;0.5575489401817322;0.705700159072876;0.7075423002243042;0.43287432193756104;0.44419899582862854;0.4770420789718628;0.6956568360328674;0.5955603122711182;0.8268580436706543;;0.6102561503648758;0.8268580436706543;DE
5;Linguagens, Códigos e suas Tecnologias;Inglês;A;0.47849178314208984;0.5337706804275513;0.41387367248535156;0.6061766147613525;0.4757450819015503;0.5164504051208496;0.33481550216674805;0.29747092723846436;0.5218309164047241;0.565424919128418;;0.47440505027770996;0.6061766147613525;AE
5;Linguagens, Códigos e suas Tecnologias;Espanhol;C;0.2708391547203064;0.30338913202285767;0.5189292430877686;0.36821070313453674;0.4816168248653412;0.3208521604537964;0.18454886972904205;0.5462821125984192;0.429617315530777;0.2688038945198059;;0.3693089410662651;0.5462821125984192;CD
6;Linguagens, Códigos e suas Tecnologias;;D;0.27012649178504944;0.2733253240585327;0.3056178689002991;0.09159378707408905;0.2265954166650772;0.2607431411743164;0.16783472895622253;0.42605358362197876;0.24093036353588104;0.36104655265808105;;0.26238672584295275;0.42605358362197876;CD
7;Linguagens, Códigos e suas Tecnologias;;A;0.43773365020751953;0.41803205013275146;0.16364488005638123;0.2864576578140259;0.32305020093917847;0.10327237844467163;0.2486950308084488;0.17825958132743835;0.12548503279685974;0.027458777651190758;;0.2312089240178466;0.43773365020751953;AB
8;Linguagens, Códigos e suas Tecnologias;;D;0.40678367018699646;0.31164222955703735;0.3688586354255676;0.1931890845298767;0.32707032561302185;0.47861039638519287;0.32401472330093384;0.4136779308319092;0.4001442790031433;0.35963472723960876;;0.3583626002073288;0.47861039638519287;BD
9;Linguagens, Códigos e suas Tecnologias;;E;0.026054872199892998;0.21125726401805878;0.2498999387025833;0.2538459002971649;0.09316667914390564;0.26800063252449036;0.4706041216850281;0.26888519525527954;0.38900303840637207;0.5228222608566284;;0.2753539903089404;0.5228222608566284;DE
10;Linguagens, Códigos e suas Tecnologias;;C;0.4419708847999573;0.3914511203765869;0.3354583978652954;0.4321351945400238;0.49022167921066284;0.42924124002456665;0.38443416357040405;0.49517765641212463;0.434202641248703;0.3943464159965515;;0.42286393940448763;0.49517765641212463;CD
11;Linguagens, Códigos e suas Tecnologias;;B;0.1513984203338623;0.23383188247680664;0.1877276450395584;0.287375807762146;0.198906809091568;0.4997097849845886;0.47445738315582275;0.17294786870479584;0.3154313564300537;0.18569490313529968;;0.2707481861114502;0.4997097849845886;BD
12;Linguagens, Códigos e suas Tecnologias;;B;0.32927262783050537;0.37172114849090576;0.4097023010253906;0.40631192922592163;0.4234355688095093;0.33340612053871155;0.3085787892341614;0.31663596630096436;0.32405662536621094;0.3716420531272888;;0.35947631299495697;0.4234355688095093;BC
13;Linguagens, Códigos e suas Tecnologias;;D;0.671552300453186;0.428180992603302;0.41984838247299194;0.23752102255821228;0.42931845784187317;0.37534087896347046;0.17476791143417358;0.15491265058517456;0.35451942682266235;0.4428318738937378;;0.36887938976287843;0.671552300453186;AB
14;Linguagens, Códigos e suas Tecnologias;;B;0.6668750047683716;0.5257222056388855;0.6819994449615479;0.5979337692260742;0.4767693877220154;0.6667337417602539;0.5678207874298096;0.6004053354263306;0.4581345319747925;0.6541894674301147;;0.5896583676338196;0.6819994449615479;AD
15;Linguagens, Códigos e suas Tecnologias;;E;0.5572613477706909;0.21117034554481506;0.5929504632949829;0.17926275730133057;0.3127463757991791;0.470209538936615;0.3291676640510559;0.2545372545719147;0.6195834279060364;0.21043574810028076;;0.3737324923276901;0.6195834279060364;CE
16;Linguagens, Códigos e suas Tecnologias;;E;0.4324142038822174;0.3695867359638214;0.3826718330383301;0.37524014711380005;0.44882673025131226;0.41332587599754333;0.5080544352531433;0.40821170806884766;0.3329003155231476;0.3532395362854004;;0.40244715213775634;0.5080544352531433;BE
17;Linguagens, Códigos e suas Tecnologias;;B;0.4617997705936432;0.43400415778160095;0.34577494859695435;0.4290388226509094;0.45063912868499756;0.5735880136489868;0.707987904548645;0.3803333342075348;0.3051193058490753;0.4286022186279297;;0.45168876051902773;0.707987904548645;BE
18;Linguagens, Códigos e suas Tecnologias;;D;0.4565843939781189;0.4079928398132324;0.20863042771816254;0.3873647153377533;0.2269195020198822;0.3515157699584961;0.45113658905029297;0.22153714299201965;0.2988038659095764;0.4207109808921814;;0.3431196227669716;0.4565843939781189;AB
19;Linguagens, Códigos e suas Tecnologias;;D;0.5617918968200684;0.1583748310804367;0.4890674948692322;0.39541691541671753;0.2578185796737671;0.5721968412399292;0.4257507622241974;0.3211299777030945;0.3980233073234558;0.5190114378929138;;0.40985820442438126;0.5721968412399292;BD
20;Linguagens, Códigos e suas Tecnologias;;E;0.41048336029052734;0.36382636427879333;0.5704774856567383;0.5542194247245789;0.4359024167060852;0.29642215371131897;0.4857114851474762;0.3903304934501648;0.4674288034439087;0.6377046704292297;;0.46125066578388213;0.6377046704292297;DE
21;Linguagens, Códigos e suas Tecnologias;;C;0.4086548089981079;0.3778555989265442;0.46827107667922974;0.2530769407749176;0.5599493384361267;0.3540230393409729;0.26100364327430725;0.4994312524795532;0.3491768538951874;0.36916860938072205;;0.3900611162185669;0.5599493384361267;BC
