Numero;Area;Idioma;Gabarito;sim_AB;sim_AC;sim_AD;sim_AE;sim_BC;sim_BD;sim_BE;sim_CD;sim_CE;sim_DE;tem_alternativa_imagem;sim_media;sim_maxima;par_mais_similar
1;Linguagens, Códigos e suas Tecnologias;Inglês;D;0.41394540667533875;0.40379106998443604;0.6369068026542664;0.6173450946807861;0.6098717451095581;0.5466312766075134;0.3935700058937073;0.5984126329421997;0.5687106847763062;0.6244685649871826;;0.5413653284311295;0.6369068026542664;AD
1;Linguagens, Códigos e suas Tecnologias;Espanhol;B;0.44440096616744995;0.2192971557378769;0.43298453092575073;0.23715384304523468;0.34957659244537354;0.5454567670822144;0.49440309405326843;0.36203205585479736;0.1716822236776352;0.3868061304092407;;0.3643793359398842;0.5454567670822144;BD
2;Linguagens, Códigos e suas Tecnologias;Inglês;D;0.23377758264541626;0.422879159450531;0.38309094309806824;0.21061652898788452;0.4136250615119934;0.45166394114494324;0.23026686906814575;0.5363330245018005;0.4199867248535156;0.5148015022277832;;0.3817041337490082;0.5363330245018005;CD
2;Linguagens, Códigos e suas Tecnologias;Espanhol;A;0.3071572780609131;0.5112027525901794;0.3746022582054138;0.3649533689022064;0.19684740900993347;0.3739275336265564;0.10191245377063751;0.5613358020782471;0.6386457085609436;0.352446585893631;;0.3783031150698662;0.6386457085609436;CE
3;Linguagens, Códigos e suas Tecnologias;Inglês;D;0.2387712299823761;0.16555722057819366;0.23533995449543;0.22607778012752533;0.2580758333206177;0.4403039216995239;0.22338296473026276;0.37824612855911255;0.1716475784778595;0.2931992709636688;;0.263060188293457;0.4403039216995239;BD
3;Linguagens, Códigos e suas Tecnologias;Espanhol;D;0.39222949743270874;0.2806408703327179;0.583860456943512;0.36183229088783264;0.2941824197769165;0.34904831647872925;0.3206081986427307;0.28460437059402466;0.579849362373352;0.3605031967163086;;0.3807358980178833;0.583860456943512;AD
4;Linguagens, Códigos e suas Tecnologias;Inglês;E;0.4585520327091217;0.32893121242523193;0.5058479309082031;0.368206262588501;0.37304723262786865;0.2855408489704132;0.4161355793476105;0.13531844317913055;0.25705546140670776;0.522371768951416;;0.36510067731142043;0.522371768951416;DE
4;Linguagens, Códigos e suas Tecnologias;Espanhol;D;0.390092134475708;0.43659675121307373;0.5255016088485718;0.4735586643218994;0.5387561321258545;0.5457437038421631;0.3894231915473938;0.5013254880905151;0.40215158462524414;0.5673563480377197;;0.4770505607128143;0.5673563480377197;DE
5;Linguagens, Códigos e suas Tecnologias;Inglês;A;0.5695316195487976;0.47221463918685913;0.30929017066955566;0.5693719387054443;0.5295109748840332;0.36926254630088806;0.5634951591491699;0.5477980375289917;0.6806950569152832;0.35744765400886536;;0.49686177968978884;0.6806950569152832;CE
5;Linguagens, Códigos e suas Tecnologias;Espanhol;C;0.2758263647556305;0.20252066850662231;0.3273801803588867;0.34917861223220825;0.4966006278991699;0.37182801961898804;0.3301045596599579;0.32943740487098694;0.17947053909301758;0.3208990693092346;;0.3183246046304703;0.4966006278991699;BC
6;Linguagens, Códigos e suas Tecnologias;;E;0.3678308129310608;0.45053577423095703;0.3528473973274231;0.34579718112945557;0.2559843063354492;0.3132129907608032;0.17266693711280823;0.4896267056465149;0.2176896631717682;0.33028650283813477;;0.3296478271484375;0.4896267056465149;CD
7;Linguagens, Códigos e suas Tecnologias;;C;0.23920869827270508;0.45014840364456177;0.47374120354652405;0.35106924176216125;0.3214610815048218;0.4883970618247986;0.27777642011642456;0.35948997735977173;0.42227068543434143;0.3509088456630707;;0.3734471619129181;0.4883970618247986;BD
8;Linguagens, Códigos e suas Tecnologias;;D;0.5255218148231506;0.39843690395355225;0.4622563123703003;0.31651782989501953;0.2899600863456726;0.4756215214729309;0.5430223941802979;0.2552695870399475;0.3468117117881775;0.40762072801589966;;0.40210388898849486;0.5430223941802979;BE
9;Linguagens, Códigos e suas Tecnologias;;C;0.41675880551338196;0.4623216986656189;0.569252610206604;0.5314878225326538;0.45964866876602173;0.28165459632873535;0.5368056297302246;0.31218433380126953;0.5462429523468018;0.45546191930770874;;0.457181903719902;0.569252610206604;AD
10;Linguagens, Códigos e suas Tecnologias;;E;0.4232766330242157;0.4673483371734619;0.4796631336212158;0.30084213614463806;0.5651182532310486;0.4197222590446472;0.3560061454772949;0.5284551978111267;0.39453914761543274;0.26027828454971313;;0.4195249527692795;0.5651182532310486;BC
11;Linguagens, Códigos e suas Tecnologias;;B;0.38417768478393555;0.4691697955131531;0.40312182903289795;0.21443739533424377;0.4283156394958496;0.361031174659729;0.4095379412174225;0.545226514339447;0.2030920833349228;0.17592327296733856;;0.35940333306789396;0.545226514339447;CD
12;Linguagens, Códigos e suas Tecnologias;;C;0.37739235162734985;0.4358947277069092;0.4133879840373993;0.2358100414276123;0.5735920667648315;0.3567379415035248;0.27575480937957764;0.5733996629714966;0.27814042568206787;0.3263164758682251;;0.3846426486968994;0.5735920667648315;BC
13;Linguagens, Códigos e suas Tecnologias;;E;0.376426637172699;0.4951275885105133;0.3523167073726654;0.44974079728126526;0.5446641445159912;0.5744339227676392;0.4450210928916931;0.37939953804016113;0.42627882957458496;0.292974591255188;;0.43363838493824003;0.5744339227676392;BD
14;Linguagens, Códigos e suas Tecnologias;;C;0.41012609004974365;0.3350064754486084;0.4494686722755432;0.6728869676589966;0.46922990679740906;0.41018638014793396;0.37088489532470703;0.21648727357387543;0.5189546346664429;0.2601587772369385;;0.41133900731801987;0.6728869676589966;AE
15;Linguagens, Códigos e suas Tecnologias;;A;0.502512514591217;0.43754035234451294;0.7178471088409424;0.38437527418136597;0.4458079934120178;0.5099005103111267;0.3889217972755432;0.4068087339401245;0.36342427134513855;0.34179437160491943;;0.44989329278469087;0.7178471088409424;AD
16;Linguagens, Códigos e suas Tecnologias;;E;0.4317811131477356;0.30768194794654846;0.4176555275917053;0.37809425592422485;0.383040189743042;0.37880468368530273;0.3549925684928894;0.3730154037475586;0.29778367280960083;0.29654717445373535;;0.3619396537542343;0.4317811131477356;AB
17;Linguagens, Códigos e suas Tecnologias;;C;0.4873861074447632;0.5182790160179138;0.5316202044487;0.3954369127750397;0.39667725563049316;0.36918574571609497;0.6067893505096436;0.29951339960098267;0.3774918019771576;0.2310868501663208;;0.42134666442871094;0.6067893505096436;BE
18;Linguagens, Códigos e suas Tecnologias;;A;0.3598426878452301;0.4767301380634308;0.4163565933704376;0.598692774772644;0.511377215385437;0.4971960484981537;0.40877771377563477;0.593563437461853;0.4829283356666565;0.47526055574417114;;0.48207255005836486;0.598692774772644;AE
19;Linguagens, Códigos e suas Tecnologias;;E;0.22698314487934113;0.3481156826019287;0.2836538255214691;0.07820736616849899;0.23913119733333588;0.468839168548584;0.35268086194992065;0.2815004885196686;0.07428422570228577;0.2551952600479126;;0.26085912212729456;0.468839168548584;BD
20;Linguagens, Códigos e suas Tecnologias;;B;0.3934519290924072;0.36752957105636597;0.4684975743293762;0.3035174012184143;0.641995906829834;0.49319589138031006;0.48763853311538696;0.4728635549545288;0.541154146194458;0.357178270816803;;0.4527022778987885;0.641995906829834;BC
21;Linguagens, Códigos e suas Tecnologias;;C;0.38736626505851746;0.5997692942619324;0.407046914100647;0.40368497371673584;0.5151145458221436;0.4904898405075073;0.2537440359592438;0.4629143476486206;0.43676072359085083;0.29664745926856995;;0.42535383999347687;0.5997692942619324;AC
22;Linguagens, Códigos e suas Tecnologias;;B;0.522854208946228;0.288070410490036;0.31985795497894287;0.4163792133331299;0.38445204496383667;0.36169177293777466;0.4982747435569763;0.3774569034576416;0.46304550766944885;0.27571195363998413;;0.3907794713973999;0.522854208946228;AB
23;Linguagens, Códigos e suas Tecnologias;;C;0.5767831802368164;0.42035096883773804;0.5576741695404053;0.3970826268196106;0.3594818115234375;0.4544745087623596;0.30688950419425964;0.38515806198120117;0.45859530568122864;0.3488631546497345;;0.4265353292226791;0.5767831802368164;AB
24;Linguagens, Códigos e suas Tecnologias;;B;0.4199686050415039;0.2480795830488205;0.3368046283721924;0.33224382996559143;0.3315299153327942;0.40411025285720825;0.6272643804550171;0.5478269457817078;0.23664015531539917;0.35983067750930786;;0.38442989736795424;0.6272643804550171;BE
25;Linguagens, Códigos e suas Tecnologias;;E;0.2169281542301178;0.5105475187301636;0.2684018015861511;0.44187265634536743;0.3335503339767456;0.4644632041454315;0.49839693307876587;0.48327869176864624;0.4344992935657501;0.43181750178337097;;0.408375608921051;0.5105475187301636;AC
