Numero;Area;Idioma;Gabarito;sim_AB;sim_AC;sim_AD;sim_AE;sim_BC;sim_BD;sim_BE;sim_CD;sim_CE;sim_DE;sim_media;sim_maxima;par_mais_similar
1;Linguagens, Códigos e suas Tecnologias;Inglês;E;0.4386938810348511;0.2848808765411377;0.31582194566726685;0.4328635334968567;0.5110132098197937;0.5980044603347778;0.6261446475982666;0.4097222089767456;0.3917081356048584;0.68278968334198;0.4691642582416534;0.68278968334198;DE
1;Linguagens, Códigos e suas Tecnologias;Espanhol;D;0.20696116983890533;0.16355019807815552;0.16924065351486206;0.0741044208407402;0.10289853811264038;0.03779283165931702;0.12368221580982208;0.09354200959205627;0.06295639276504517;0.49730777740478516;0.1532036207616329;0.49730777740478516;DE
2;Linguagens, Códigos e suas Tecnologias;Inglês;A;0.4784916937351227;0.5337702035903931;0.4138737916946411;0.6061766743659973;0.4757445454597473;0.5164504051208496;0.3348150849342346;0.29747074842453003;0.5218309164047241;0.5654246807098389;0.47440487444400786;0.6061766743659973;AE
2;Linguagens, Códigos e suas Tecnologias;Espanhol;D;0.4586508870124817;0.36265844106674194;0.21986587345600128;0.27914077043533325;0.16125941276550293;0.25393909215927124;0.16616986691951752;0.2275674045085907;0.38684722781181335;0.2517892122268677;0.27678881883621215;0.4586508870124817;AB
3;Linguagens, Códigos e suas Tecnologias;Inglês;A;0.5136420726776123;0.2263900339603424;0.3973979353904724;0.35867008566856384;0.24714165925979614;0.36832237243652344;0.3829313814640045;0.43203261494636536;0.40374574065208435;0.3780922293663025;0.37083661258220674;0.5136420726776123;AB
3;Linguagens, Códigos e suas Tecnologias;Espanhol;C;0.2708388864994049;0.30338913202285767;0.5189291834831238;0.3682107925415039;0.481616348028183;0.3208518922328949;0.18454855680465698;0.5462818145751953;0.4296179413795471;0.2688039541244507;0.3693088501691818;0.5462818145751953;CD
4;Linguagens, Códigos e suas Tecnologias;Inglês;A;0.26594769954681396;0.3907181918621063;0.2385062426328659;0.21982209384441376;0.23368598520755768;0.6820080280303955;0.3140161335468292;0.2357875406742096;0.1726343184709549;0.22939221560955048;0.29825184494256973;0.6820080280303955;BD
4;Linguagens, Códigos e suas Tecnologias;Espanhol;D;0.4146866202354431;0.40989214181900024;0.4627547562122345;0.2709610164165497;0.32133567333221436;0.4387604594230652;0.2259596437215805;0.3804078698158264;0.2715805172920227;0.487615168094635;0.36839538663625715;0.487615168094635;DE
5;Linguagens, Códigos e suas Tecnologias;Inglês;C;0.23117846250534058;0.48064154386520386;0.461957722902298;0.24876035749912262;0.5942381620407104;0.45995453000068665;0.48014020919799805;0.7014299035072327;0.49710893630981445;0.48932161927223206;0.46447314471006396;0.7014299035072327;CD
5;Linguagens, Códigos e suas Tecnologias;Espanhol;A;0.6595792174339294;0.5575491786003113;0.7057002782821655;0.7075422406196594;0.4328739643096924;0.4441986382007599;0.47704169154167175;0.6956566572189331;0.5955599546432495;0.8268581628799438;0.6102559983730316;0.8268581628799438;DE
6;Linguagens, Códigos e suas Tecnologias;;D;0.43432897329330444;0.5233674645423889;0.4846656024456024;0.30972301959991455;0.4671006202697754;0.41213417053222656;0.5036633014678955;0.6419894695281982;0.3519272208213806;0.3263855278491974;0.4455285370349884;0.6419894695281982;CD
7;Linguagens, Códigos e suas Tecnologias;;D;0.21077832579612732;0.5554746389389038;0.3276245594024658;0.19730859994888306;0.2904418408870697;0.5734980702400208;0.5042697191238403;0.31247347593307495;0.3186579644680023;0.5308074355125427;0.3821334630250931;0.5734980702400208;BD
8;Linguagens, Códigos e suas Tecnologias;;C;0.41237810254096985;0.4482884109020233;0.464423269033432;0.1927904635667801;0.3696993291378021;0.3124840259552002;0.27356868982315063;0.4603733420372009;0.45786231756210327;0.3537576198577881;0.37456255704164504;0.464423269033432;AD
9;Linguagens, Códigos e suas Tecnologias;;B;0.48122817277908325;0.5361078381538391;0.3864911198616028;0.46500009298324585;0.500873863697052;0.5635239481925964;0.6412750482559204;0.48085707426071167;0.6565355062484741;0.5605111718177795;0.5272403836250306;0.6565355062484741;CE
10;Linguagens, Códigos e suas Tecnologias;;D;0.696607768535614;0.6714563369750977;0.5362172722816467;0.5224359631538391;0.6949937343597412;0.7248470783233643;0.6592099666595459;0.6201688051223755;0.7267401218414307;0.7456824779510498;0.6598359525203705;0.7456824779510498;DE
11;Linguagens, Códigos e suas Tecnologias;;E;0.40246137976646423;0.5176640152931213;0.4858725965023041;0.3999103903770447;0.5973703861236572;0.7324596643447876;0.5516998767852783;0.6914422512054443;0.564620316028595;0.5830973386764526;0.5526598215103149;0.7324596643447876;BD
12;Linguagens, Códigos e suas Tecnologias;;E;0.5112180113792419;0.3237241208553314;0.39033186435699463;0.22792160511016846;0.17187470197677612;0.46280479431152344;0.2740201950073242;0.23859025537967682;0.20699575543403625;0.3535381555557251;0.31610194593667984;0.5112180113792419;AB
13;Linguagens, Códigos e suas Tecnologias;;C;0.27097323536872864;0.3551138639450073;0.3573009967803955;0.3341575264930725;0.25574493408203125;0.263645201921463;0.46473005414009094;0.45429176092147827;0.3981821537017822;0.38726097345352173;0.35414007008075715;0.46473005414009094;BE
14;Linguagens, Códigos e suas Tecnologias;;E;0.24003978073596954;0.5880581140518188;0.4027501344680786;0.5664522647857666;0.39951613545417786;0.44631606340408325;0.4297584593296051;0.5090280771255493;0.5617323517799377;0.5159841179847717;0.46596354991197586;0.5880581140518188;AC
15;Linguagens, Códigos e suas Tecnologias;;E;0.4104827046394348;0.36382609605789185;0.570477306842804;0.5542205572128296;0.43590247631073;0.2964221239089966;0.4857090413570404;0.3903302550315857;0.4674278199672699;0.6377049684524536;0.46125033497810364;0.6377049684524536;DE
16;Linguagens, Códigos e suas Tecnologias;;C;0.4086539149284363;0.37785467505455017;0.4682702422142029;0.25307637453079224;0.5599493980407715;0.35402268171310425;0.26100289821624756;0.4994310736656189;0.3491761088371277;0.3691680133342743;0.3900605380535126;0.5599493980407715;BC
17;Linguagens, Códigos e suas Tecnologias;;B;0.5185279250144958;0.47211241722106934;0.4174857437610626;0.2493932545185089;0.5780580639839172;0.5147013664245605;0.3501477837562561;0.43789219856262207;0.3785912096500397;0.42154550552368164;0.4338455468416214;0.5780580639839172;BC
18;Linguagens, Códigos e suas Tecnologias;;D;0.4469238221645355;0.4971601366996765;0.5671588182449341;0.22545959055423737;0.47552740573883057;0.5271140336990356;0.22298955917358398;0.4808371067047119;0.24563296139240265;0.4081742763519287;0.4096977710723877;0.5671588182449341;AD
19;Linguagens, Códigos e suas Tecnologias;;C;0.34917885065078735;0.3680385947227478;0.3774860203266144;0.35751771926879883;0.4547536373138428;0.4072891175746918;0.5348180532455444;0.503331184387207;0.477453351020813;0.5120485424995422;0.43419150710105897;0.5348180532455444;BE
20;Linguagens, Códigos e suas Tecnologias;;D;0.2701266407966614;0.27332553267478943;0.3056182563304901;0.09159424901008606;0.22659525275230408;0.26074308156967163;0.1678343117237091;0.4260537326335907;0.24092984199523926;0.3610461950302124;0.2623867094516754;0.4260537326335907;CD
21;Linguagens, Códigos e suas Tecnologias;;A;0.43773412704467773;0.4180321991443634;0.1636449247598648;0.2864580452442169;0.32305049896240234;0.10327258706092834;0.24869504570960999;0.17825967073440552;0.125485360622406;0.027458420023322105;0.23120908793061973;0.43773412704467773;AB
22;Linguagens, Códigos e suas Tecnologias;;D;0.4067836403846741;0.3116423785686493;0.3688582181930542;0.19318902492523193;0.32707035541534424;0.4786102771759033;0.3240145444869995;0.4136781096458435;0.4001445174217224;0.3596346378326416;0.3583625704050064;0.4786102771759033;BD
23;Linguagens, Códigos e suas Tecnologias;;E;0.5572614669799805;0.2111704796552658;0.5929502844810486;0.17926302552223206;0.31274649500846863;0.47020989656448364;0.32916778326034546;0.25453776121139526;0.6195836067199707;0.2104359269142151;0.3737326726317406;0.6195836067199707;CE
24;Linguagens, Códigos e suas Tecnologias;;E;0.43241387605667114;0.36958712339401245;0.3826713562011719;0.3752397298812866;0.4488269090652466;0.4133257269859314;0.5080541372299194;0.40821173787117004;0.332899808883667;0.3532390594482422;0.40244694650173185;0.5080541372299194;BE
25;Linguagens, Códigos e suas Tecnologias;;B;0.4617990255355835;0.43400388956069946;0.3457746207714081;0.42903804779052734;0.45063909888267517;0.5735880136489868;0.7079875469207764;0.38033345341682434;0.30511918663978577;0.4286018908023834;0.45168847739696505;0.7079875469207764;BE
26;Linguagens, Códigos e suas Tecnologias;;C;0.35507670044898987;0.3633524775505066;0.15285643935203552;0.3846113681793213;0.42350322008132935;0.22310273349285126;0.4661799669265747;0.43122464418411255;0.28225207328796387;0.15978583693504333;0.3241945460438728;0.4661799669265747;BE
